country,date,name,category,description
PE,01-01,Año Nuevo,holiday,Inicio del año - promociones de renovación
PE,02-14,San Valentín,commercial,Día del amor - paquetes parejas y amigas
PE,03-08,Día de la Mujer,commercial,Celebración de la mujer - alta demanda
PE,03-22,Día del Agua,cultural,Conciencia ambiental - promos eco
PE,04-01,Día de la Educación,cultural,Semana de regreso a clases
PE,04-17,Jueves Santo,holiday,Semana Santa - gente con tiempo libre
PE,04-18,Viernes Santo,holiday,Semana Santa - feriado largo
PE,05-01,Día del Trabajo,holiday,Feriado - clientes disponibles
PE,05-11,Día de la Madre,commercial,FECHA TOP - mayor demanda del año
PE,06-07,Día de la Bandera,holiday,Mes patrio empieza
PE,06-15,Día del Padre,commercial,Regalos y experiencias para papá
PE,06-24,Día del Campesino,holiday,Feriado - disponibilidad de clientes
PE,07-06,Día del Maestro,commercial,Agradecimiento a profesores
PE,07-28,Día de la Independencia,holiday,Fiestas Patrias - looks patrios
PE,07-29,Fiestas Patrias,holiday,Feriado largo - servicios premium
PE,08-30,Santa Rosa de Lima,holiday,Feriado - alta demanda
PE,09-23,Día de la Primavera,commercial,Renovación de look - cambio de estación
PE,10-08,Combate de Angamos,holiday,Feriado - clientes disponibles
PE,10-31,Halloween,cultural,Disfraces y looks temáticos
PE,11-01,Día de Todos los Santos,holiday,Feriado - disponibilidad
PE,11-25,Black Friday,commercial,FECHA TOP - descuentos masivos
PE,11-28,Cyber Monday,commercial,Extensión de ofertas online
PE,12-08,Inmaculada Concepción,holiday,Inicio temporada navideña
PE,12-21,Cierre de Año,commercial,Última semana laboral - looks de cierre
PE,12-24,Nochebuena,holiday,FECHA TOP - preparación para cena
PE,12-25,Navidad,holiday,Celebración navideña
PE,12-31,Año Nuevo,holiday,FECHA TOP - looks de fin de año
